label,level,dim,sealed,a2,a3,a5,a7,a11,a13,a17,a19,a23,a29,a31,a37,a41,a43,a47,a53,a59,a61,a67,a71,a73,a79,a83,a89,a97
575.2.a.e,575,1,0,2,2,0,1,0,2,-5,8,-1,-5,-5,7,-7,4,-2,-1,3,-6,13,13,8,-14,-3,-14,14
575.2.a.f,575,2,0,1,0,0,-2,-6,-6,-6,-4,-2,-6,0,-2,2,0,0,8,4,4,10,20,-22,-4,22,-12,-22
575.2.a.g,575,2,0,3,2,0,2,-2,8,4,2,2,-10,4,6,-6,6,-10,12,0,2,-6,-8,0,22,4,10,-10
575.2.a.h,575,4,0,-2,2,0,3,4,0,1,-4,4,19,-1,3,13,6,-6,-19,23,0,3,-3,32,2,21,0,18
575.2.a.i,575,4,0,0,-2,0,-6,2,-14,-14,-4,4,4,0,-2,-8,-4,-2,-4,0,-8,2,-24,-18,24,6,-8,-34
575.2.a.j,575,4,0,0,2,0,6,2,14,14,-4,-4,4,0,2,-8,4,2,4,0,-8,-2,-24,18,24,-6,-8,34
575.2.a.k,575,7,0,-1,0,0,3,-1,-3,10,15,-7,3,14,-10,19,5,-14,4,-16,40,-4,-14,-3,-1,17,16,-24
575.2.a.l,575,7,0,1,0,0,-3,-1,3,-10,15,7,3,14,10,19,-5,14,-4,-16,40,4,-14,3,-1,-17,16,24
576.2.a.a,576,1,0,0,0,-4,0,0,6,8,0,0,4,0,2,-8,0,0,4,0,10,0,0,6,0,0,16,-18
576.2.a.b,576,1,0,0,0,-2,0,-4,2,-2,-4,-8,6,-8,-6,6,4,0,-2,-4,2,-4,8,10,8,4,6,2
576.2.a.c,576,1,0,0,0,-2,0,0,-6,-2,0,0,-10,0,2,-10,0,0,14,0,10,0,0,-6,0,0,-10,18
576.2.a.d,576,1,0,0,0,-2,0,4,2,-2,4,8,6,8,-6,6,-4,0,-2,4,2,4,-8,10,-8,-4,6,2
576.2.a.e,576,1,0,0,0,0,-4,0,-2,0,-8,0,0,-4,10,0,-8,0,0,0,-14,16,0,-10,-4,0,0,14
576.2.a.f,576,1,0,0,0,0,4,0,-2,0,8,0,0,4,10,0,8,0,0,0,-14,-16,0,-10,4,0,0,14
